tweets,clean_tweets,sentiment
@Madhav_Rathore_ Well said. Non-Hindi speaking people do not hate Hindi as a language. What they hate is the Govern… https://t.co/FeQd8Gyll9,well said nonhindi speaking people hate hindi language hate govern,negative
@pajiala @BharatiTiya @pandeyji_akash @NarenDon @KP24 Well dear there is no hatred on any language. But only on its… https://t.co/lwutVPuSMS,well dear hatred language,neutral
"@hd_kumaraswamy @AmitShah Indian constitution imposes Hindi on non Hindi people.

The solution to the Hindi imposit… https://t.co/vmwd3gpKjj",indian constitution imposes hindi hindi people solution hindi imposit,neutral
"Indian constitution imposes Hindi on non Hindi people.

The solution to the Hindi imposition is amending the consti… https://t.co/WPRc0XjJOb",indian constitution imposes hindi hindi people solution hindi imposition amending consti,neutral
@preetamrokzz @AmitShah Your odia must be protected against the Hindi imposition. I have few Iranian friend they un… https://t.co/gmK20d3Q5R,odia must protected hindi imposition iranian friend,neutral
@TapirGao Languages won't unite but hindi/sanskrit imposition will break India. Respect diversity. Respecting/learn… https://t.co/tjUnRypsb6,languages wont unite hindisanskrit imposition break india respect diversity respectinglearn,neutral
@MNageswarRaoIPS @ShekharGupta Languages are dying because of Hindi imposition and govts not willing to make mother… https://t.co/mvZDNO8wG7,languages dying hindi imposition govts willing make mother,neutral
"@Naren_Reddy23 No, you have  a problem with Hindi imposition. I too have that. But, urdu has been lingua franca of… https://t.co/BCNO6r6Zql",problem hindi imposition urdu lingua franca,neutral
"@KiranJanardhan @hd_kumaraswamy @AmitShah See the point here is that kannadigas, or tamils are not in north india t… https://t.co/UaIru3NPwD",see point kannadigas tamils north india,neutral
"To this, I would add the artificial “language politics”, fake accusations of “Hindi imposition “, ill-advised anti-… https://t.co/oc3ZLGwm4Q",would add artificial language politics fake accusations hindi imposition illadvised anti,negative
@SnehasishFP @BusaaSan @woody7319 @KadhiravanCNA @Bharathpkgl No need to compare. Be united against the Imposition… https://t.co/gY2JoV0Zk5,need compare united imposition,neutral
"@Srirampandit08 @Bharathpkgl @JasB_Lee Mr. The mesaage is to all Non-Hindi speaking people. Urdu, Tulu, Marathi, Ta… https://t.co/siSpIhBMuM",mr mesaage nonhindi speaking people urdu tulu marathi,neutral
@Dr_Yathindra_S So you think amendments to the constitution are not required to stop Hindi Imposition and promote L… https://t.co/DDMegTP80L,think amendments constitution required stop hindi imposition promote,neutral
"We never hated Hindi as a language, just the forceful imposition on us.

Wondering why its yet clear to you!. https://t.co/lT1tmLlSah",never hated hindi language forceful imposition us wondering yet clear,positive
@mauryaraj1432 @PChidambaram_IN None of us hate the Hindi language but we hate it's imposition upon us..,none us hate hindi language hate imposition upon us,negative
@mauryaraj1432 @PChidambaram_IN You need to know the difference between hating Hindi and hating it's imposition ovw… https://t.co/LstusnOGj7,need know difference hating hindi hating imposition ovw,negative
"@AyushForIndia @sanjoyr03  even now it's not late i am confident that congress will form govt in Tamil Nadu, puduch… https://t.co/EVMfxPBhIJ",even late confident congress form govt tamil nadu puduch,negative
"2/ This is clearly a strategy to impose Hindi on Kannadigas, by insulting them in their own land. Culture impositio… https://t.co/SublvSdnyE",2 clearly strategy impose hindi kannadigas insulting land culture impositio,neutral
"Love how sanghi North Indians are quick to appreciate sexist, caste-ist Telugu movies but when anyone from the sout… https://t.co/RqN2CIiZ52",love sanghi north indians quick appreciate sexist casteist telugu movies anyone sout,positive
@KanganaTeam Mgr was an atheist and the founder of AIADMK party for the cause of Dravidas. He hated Hindi impositio… https://t.co/bxIzpAcn9j,mgr atheist founder aiadmk party cause dravidas hated hindi impositio,negative
"@Rider_Gaim01 @Amrutha_P_B - state boards do teach mother tongues. If a person who's not Tamil, stays in TN, the la… https://t.co/PhlfUUL8nO",state boards teach mother tongues person whos tamil stays tn,neutral
"@manjesh2694 You should understand the intent behind the tweet, there is a lobby for dubbing, but there is no lobby… https://t.co/JfE2fu3y4X",understand intent behind tweet lobby dubbing lobby,negative
Strongly Agree that Hindi Imposition in Karnataka should be a major discussion item for elections. A comprehensive… https://t.co/nI0Lv8Q9YN,strongly agree hindi imposition karnataka major discussion item elections comprehensive,positive
@mssriharsha Strongly Agree that Hindi Imposition in Karnataka should be a major discussion item for elections. A c… https://t.co/PjWZFEEmX4,strongly agree hindi imposition karnataka major discussion item elections,positive
@kdabengaluru @BSYBJP @JoshiPralhad @AmitShah @narendramodi @PMOIndia @HomeGovt @MinOfCultureGoI @csogok… https://t.co/6XFo9En9CZ,,neutral
"You should trash 3 language formula. It only burdens Kannadigas. It should be 2 language formula, Regional language… https://t.co/yDjd0Km6Z5",trash 3 language formula burdens kannadigas 2 language formula regional language,neutral
"@ShyamSPrasad Imposition of any language in any region, is wrong. Three language formula is not workable. It has no… https://t.co/GXVzH3YkaE",imposition language region wrong three language formula workable,negative
"Imposition of any language in any region, is wrong. Three language formula is not workable. It has not worked. UP h… https://t.co/lqjW4PyK9w",imposition language region wrong three language formula workable worked,negative
@KanthaDT @SanjaySharanu @Sowmyareddyr Ok...but why hate hindi.. respect hindi as well..hindi is national and OFFIC… https://t.co/C70c2yU8jn,okbut hate hindi respect hindi wellhindi national offic,negative
@gauri45 @Amrutha_P_B Where is choice here? 3 language policy imposes hndi and creates disadvantage for non hindi s… https://t.co/OPUWWILvt8,choice 3 language policy imposes hndi creates disadvantage hindi,neutral
#Hindi Don’t impose Hindi I Southern States! Tamil is the oldest language and rich in literature! So are other Sout… https://t.co/WndRr0t6Tf,hindi dont impose hindi southern states tamil oldest language rich literature sout,positive
"Where is Hindi Imposition?

Here it is-

our language is removed to give space to Hindi in Bank cheque forms.… https://t.co/FOdTODDGdE",hindi imposition language removed give space hindi bank cheque forms,neutral
